Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2019,Renault,Kwid  ,RXL,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",343000,33000,5841
2022,Maruti,Celerio  ,ZXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",587000,10500,9996
2017,Maruti,Baleno  ,Zeta AT Petrol,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",640000,29500,10898
2019,Maruti,Alto 800 ,VXi (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",312000,98500,5576
2023,Renault,Kiger  ,RXZ AMT Dual Tone,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",729000,27500,12414
2013,Maruti,Alto 800 ,Lxi CNG,petrol+cng,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",263000,41000,7293
2011,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",249000,83000,17792
2022,Renault,Duster  ,RXS 1.5 Petrol MT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",849000,25000,14457
2015,Hyundai,Elite i20 ,Sportz 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",461000,98000,8391
2011,Hyundai,i20  ,Sportz 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",288000,67500,20578
2022,Kia,Carens  ,Prestige Plus 1.4 Petrol 7 STR,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1278000,18000,21978
2021,Maruti,Celerio  ,ZXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",451000,58000,7680
2021,Maruti,Baleno  ,Zeta,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",679000,39000,11562
2022,Maruti,Alto 800 ,LXi (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",358000,23000,6398
2016,Mercedes,GLA  ,200 CDI Sport,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1800000,52500,33089
2015,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",252000,109500,5408
